SEQ,LINK_NO,CASE_REF,CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_PAN,WEEK_START,AGGREGATE_CASH,P_SUSPICIOUS,RULE_THEN,THRESHOLD_THEN,RULE_NOW,THRESHOLD_NOW,CITATION,WHY_NO_ALERT,AGGRAVATING,MITIGATING,EVIDENCE,CONTENT_HASH,CHAIN_HASH
453,438,CU-100676|2025-09-22,CU-100676,Customer 100676,JOFKD4637E,2025-09-22,925280.76,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      925,281 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","Cash volume is 16.72 times declared monthly income for a salaried banking employee—an occupation with no legitimate cash-handling requirement. This extreme disproportion, combined with 85.7% of deposits sitting just below round numbers and 67% rapid outflow via electronic transfer, forms a textbook structuring pattern inconsistent with the declared profile.","Cash activity has been consistent over 26 weeks (65.4% of weeks active) with moderate volatility (0.27), suggesting an established pattern rather than a sudden burst. The customer uses only one branch and has a low internal risk rating. This regularity could reflect an undeclared but legitimate side business—common in India where many salaried individuals run cash-based trading activities (retail, textiles, small-scale commerce) that they fail to update in bank records.","{
  ""avg_deposit"": 132183,
  ""cash_vs_monthly_income"": 16.72,
  ""days_since_kyc"": 514,
  ""declared_annual_income"": 664000,
  ""deposits_just_under_round_pct"": 85.7,
  ""distinct_branches_used"": 1,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Salaried - Banking"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.67,
  ""prior_alert_count"": 7,
  ""risk_rating"": ""LOW"",
  ""weekly_volatility"": 2.700000000000000e-01,
  ""weeks_since_cash_began"": 26,
  ""weeks_with_cash_activity_pct"": 65.4
}",5891f73fcb4de4a4399536cf0cdb560f3f74ec4bf9f711e752a59d86ceff1b38,16ea1897231686b60a72dbb3f8f994edd97ced891200a5ac1009d991b8a2cad7
454,439,CU-100676|2025-10-20,CU-100676,Customer 100676,JOFKD4637E,2025-10-20,815812.59,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      815,813 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","Cash volume is 14.74 times declared monthly income for a salaried banking employee—an occupation with no legitimate cash-handling requirement. This extreme disproportionality, combined with 87.5% of deposits sitting just below round numbers and 65% rapid outflow via electronic transfer, suggests classic structuring behavior where the account is being used as a conduit rather than for genuine business purposes.","Cash activity has persisted steadily for 24 weeks with 61.5% of weeks showing deposits and moderate volatility (0.26), indicating an established pattern rather than a one-time spike. The customer maintains a low internal risk rating and uses only one branch consistently. This regularity could reflect an undeclared but genuine side business (small retail trade, family business management, or cash collection services) that the salaried employee operates alongside their banking job.","{
  ""avg_deposit"": 101977,
  ""cash_vs_monthly_income"": 14.74,
  ""days_since_kyc"": 542,
  ""declared_annual_income"": 664000,
  ""deposits_just_under_round_pct"": 87.5,
  ""distinct_branches_used"": 1,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Salaried - Banking"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.65,
  ""prior_alert_count"": 8,
  ""risk_rating"": ""LOW"",
  ""weekly_volatility"": 2.600000000000000e-01,
  ""weeks_since_cash_began"": 24,
  ""weeks_with_cash_activity_pct"": 61.5
}",6edff4e6e30ca8b510a26e4b25c004673dac6f4c42f965df3c81663e169cebe7,86320ffe85c2c07839960ab3d37cdeb78ee3ad932013dafa7e7fa240a3a47e36
455,440,CU-100676|2025-10-27,CU-100676,Customer 100676,JOFKD4637E,2025-10-27,903385.33,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      903,385 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash volume is 16.33 times declared monthly income for a salaried banking employee—an occupation with zero legitimate cash-handling needs. This extreme disproportionality, combined with 80% of deposits sitting just below round numbers (classic threshold avoidance) and 63% rapid outflow via electronic transfer, forms the textbook structuring pattern: break up cash, stay under radar amounts, move it out quickly.","The activity shows moderate regularity over 26 weeks (65% of weeks active, volatility 0.26), suggesting an ongoing operation rather than a one-time panic. If this were pure structuring, we'd expect more erratic bursts. The pattern could reflect an undeclared but legitimate side business—perhaps the customer runs a small cash retail operation, coaching classes, or helps family members deposit business receipts, and the banking salary is simply their primary declared income while actual commercial activity goes unreported for tax reasons.","{
  ""avg_deposit"": 180677,
  ""cash_vs_monthly_income"": 16.33,
  ""days_since_kyc"": 549,
  ""declared_annual_income"": 664000,
  ""deposits_just_under_round_pct"": 80,
  ""distinct_branches_used"": 1,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Salaried - Banking"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.63,
  ""prior_alert_count"": 8,
  ""risk_rating"": ""LOW"",
  ""weekly_volatility"": 2.600000000000000e-01,
  ""weeks_since_cash_began"": 25,
  ""weeks_with_cash_activity_pct"": 65.4
}",d239a10bbde9fd6e0afba86dd44279cc2ccf60a42dffa6d668d0a9189268ba81,e99299715efe6e54b9d77c726f10725e416df1a499427a92ad1a8131990b77ef
456,441,CU-100676|2025-11-10,CU-100676,Customer 100676,JOFKD4637E,2025-11-10,831268.06,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      831,268 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash volume is 15 times declared monthly income for a salaried banking employee—an occupation with zero legitimate cash-handling needs. This extreme disproportionality, combined with 80% of deposits sitting just below round numbers and 58% being transferred out electronically, suggests classic structuring: someone is using this account as a conduit, keeping individual deposits below reporting thresholds while rapidly moving funds onward.","The activity has persisted steadily for 26 weeks with 69% of weeks showing cash deposits and relatively low volatility (0.24), indicating an established pattern rather than a sudden burst. Legitimate side businesses—particularly in India's cash-heavy economy—often run through salaried employees' accounts for years. The customer uses only one branch and holds a LOW risk rating, suggesting operational familiarity rather than evasive behavior.","{
  ""avg_deposit"": 166254,
  ""cash_vs_monthly_income"": 15.02,
  ""days_since_kyc"": 563,
  ""declared_annual_income"": 664000,
  ""deposits_just_under_round_pct"": 80,
  ""distinct_branches_used"": 1,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Salaried - Banking"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.58,
  ""prior_alert_count"": 8,
  ""risk_rating"": ""LOW"",
  ""weekly_volatility"": 2.400000000000000e-01,
  ""weeks_since_cash_began"": 26,
  ""weeks_with_cash_activity_pct"": 69.2
}",de4639d46906901d6a93b3eb13c7203d21dc4399238fcc4a63c0dfd06f0eaa5a,2d3a381eb6caa349efe4dad1eda7fbdc44aefd30c972925402516b457a862402
457,442,CU-100676|2025-12-01,CU-100676,Customer 100676,JOFKD4637E,2025-12-01,851691.95,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      851,692 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash volume is 15.39 times declared monthly income for a salaried banking employee—an occupation with no legitimate cash-handling requirement. This extreme disproportionality, combined with 75% of deposits sitting just below round numbers (suggesting deliberate structuring to avoid thresholds) and 64% of funds being rapidly transferred out via electronic channels, forms a classic layering pattern inconsistent with any plausible personal banking need.","The activity shows moderate regularity over 26 weeks (65.4% of weeks active, volatility of 0.21), suggesting an ongoing pattern rather than a one-time burst. The customer uses only one branch and has been engaging in this behavior for 25 weeks, which could indicate an undeclared but established side business (perhaps cash-based retail, trading, or family business management) that the customer simply failed to update in their KYC profile. The 8 prior alerts without apparent action suggest previous reviews may have found innocent explanations.","{
  ""avg_deposit"": 212923,
  ""cash_vs_monthly_income"": 15.39,
  ""days_since_kyc"": 584,
  ""declared_annual_income"": 664000,
  ""deposits_just_under_round_pct"": 75,
  ""distinct_branches_used"": 1,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Salaried - Banking"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.64,
  ""prior_alert_count"": 8,
  ""risk_rating"": ""LOW"",
  ""weekly_volatility"": 2.100000000000000e-01,
  ""weeks_since_cash_began"": 25,
  ""weeks_with_cash_activity_pct"": 65.4
}",b07320bb188dd30a41917e2bfaf64a0049f6c857fc14e99a0c4d58070e4c12a8,6a15620a6b86402575a5d793a5c6c6831c61fa36687adc4708f6066bb7e4dc53
458,443,CU-100676|2025-12-08,CU-100676,Customer 100676,JOFKD4637E,2025-12-08,882212.79,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      882,213 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash volume is 15.94 times declared monthly income for a salaried banking employee—an occupation with zero legitimate cash-handling needs. This extreme disproportionality, combined with 80% of deposits sitting just below round numbers (classic structuring behavior) and 64% of funds being rapidly transferred out via electronic channels, suggests the account is being used as a conduit rather than for genuine personal banking.","The activity shows moderate regularity over 26 weeks (69% of weeks active, volatility of 0.21), which suggests an ongoing pattern rather than a one-time burst. The customer uses only one branch and carries a LOW internal risk rating. This could represent an undeclared but legitimate side business—perhaps the customer is acting as an informal collection agent, running a family retail operation not reflected in their declared occupation, or managing cash for a small business where they're a silent partner.","{
  ""avg_deposit"": 176443,
  ""cash_vs_monthly_income"": 15.94,
  ""days_since_kyc"": 591,
  ""declared_annual_income"": 664000,
  ""deposits_just_under_round_pct"": 80,
  ""distinct_branches_used"": 1,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Salaried - Banking"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.64,
  ""prior_alert_count"": 8,
  ""risk_rating"": ""LOW"",
  ""weekly_volatility"": 2.100000000000000e-01,
  ""weeks_since_cash_began"": 26,
  ""weeks_with_cash_activity_pct"": 69.2
}",149db7613857950f70b8f9deb565751e8eb878e0303b13f38e62f5393f7e2f5f,46e08b9ab06cc7b0c87ef22a2ba25896a77a2c39d6be47b63eadce4798f87655
459,444,CU-100676|2026-02-02,CU-100676,Customer 100676,JOFKD4637E,2026-02-02,922285.5,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      922,286 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","Cash volume is 16.67 times declared monthly income for a salaried banking employee—an occupation with no legitimate cash-handling requirement. This extreme disproportion, combined with 72% immediate outflow via electronic transfer and 87.5% of deposits sitting just below round numbers, suggests classic structuring behavior designed to avoid reporting thresholds while quickly layering funds out of the cash system.","Activity has persisted steadily for 26 weeks (76.9% of weeks active) with relatively low volatility (0.18), showing the consistent, ongoing pattern typical of a real business rather than the burst-and-disappear signature of pure structuring. The customer maintains a low internal risk rating and uses only one branch, suggesting established banking relationships rather than evasive behavior across multiple locations.","{
  ""avg_deposit"": 115286,
  ""cash_vs_monthly_income"": 16.67,
  ""days_since_kyc"": 647,
  ""declared_annual_income"": 664000,
  ""deposits_just_under_round_pct"": 87.5,
  ""distinct_branches_used"": 1,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Salaried - Banking"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.72,
  ""prior_alert_count"": 8,
  ""risk_rating"": ""LOW"",
  ""weekly_volatility"": 1.800000000000000e-01,
  ""weeks_since_cash_began"": 26,
  ""weeks_with_cash_activity_pct"": 76.9
}",60bffe8a1e7495f3d6690f0aab10a3905a0378bc4dde5e4329a5b59d25bb39f0,26da07790f14258e6ab2e4cef0f0c313587dbe141e366bf2881fe780730d02bd
460,445,CU-100676|2026-03-23,CU-100676,Customer 100676,JOFKD4637E,2026-03-23,932202.09,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      932,202 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash volume is 16.85 times declared monthly income for a salaried banking employee—an occupation with zero legitimate cash-handling needs. A bank employee depositing nearly INR 1 million in cash over one week, when their entire annual salary is INR 664,000, presents an extreme income-to-activity mismatch that cannot be explained by normal employment.","The activity shows strong temporal consistency over 26 weeks (present in 77% of weeks with low volatility of 0.11), suggesting an established, ongoing operation rather than sudden bursts typical of structuring. The funds are retained substantially (only 70% transferred out, meaning 30% stays), and the pattern resembles a regular side business with steady weekly cash flow, possibly undeclared trading or family business income that the customer has simply failed to update in KYC.","{
  ""avg_deposit"": 233051,
  ""cash_vs_monthly_income"": 16.85,
  ""days_since_kyc"": 696,
  ""declared_annual_income"": 664000,
  ""deposits_just_under_round_pct"": 75,
  ""distinct_branches_used"": 1,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Salaried - Banking"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.7,
  ""prior_alert_count"": 8,
  ""risk_rating"": ""LOW"",
  ""weekly_volatility"": 1.100000000000000e-01,
  ""weeks_since_cash_began"": 26,
  ""weeks_with_cash_activity_pct"": 76.9
}",aba12f6651a4d158c00e857db9774d2a9054b5f11f9e7461ee21b748669cf581,a1c954761eae52cb65e06b1f3c5eaa051127215f03ab2e665372e23ab7a099b6
461,446,CU-100676|2026-04-06,CU-100676,Customer 100676,JOFKD4637E,2026-04-06,815896.06,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      815,896 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","Cash volume is 14.75 times declared monthly income for a salaried banking employee—an occupation with no legitimate reason to handle large cash flows. This extreme disproportionality, combined with 75% of deposited cash being immediately transferred out via electronic channels, suggests classic layering behavior where cash is being converted and moved rather than used for business operations.","Cash activity has been consistent over 26 weeks with low volatility (0.11), showing steady week-to-week patterns rather than the burst behavior typical of structuring. The regularity suggests an ongoing economic activity—possibly an undeclared side business or family enterprise—rather than episodic laundering. The customer has maintained this pattern openly at a single branch for half a year, which is inconsistent with deliberate concealment.","{
  ""avg_deposit"": 116557,
  ""cash_vs_monthly_income"": 14.75,
  ""days_since_kyc"": 710,
  ""declared_annual_income"": 664000,
  ""deposits_just_under_round_pct"": 42.9,
  ""distinct_branches_used"": 1,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Salaried - Banking"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.75,
  ""prior_alert_count"": 8,
  ""risk_rating"": ""LOW"",
  ""weekly_volatility"": 1.100000000000000e-01,
  ""weeks_since_cash_began"": 26,
  ""weeks_with_cash_activity_pct"": 76.9
}",1a535b836e6c88e5d62d0515a1c69bfb148be22bc55565110a90a9db2e812512,9d543c5410153fb34cc7a21adaea50adcc2267ba2dbfdab582cf42bdb511dea0
462,447,CU-100676|2026-04-13,CU-100676,Customer 100676,JOFKD4637E,2026-04-13,973061.31,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      973,061 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","Cash volume is 17.59 times declared monthly income for a salaried banking employee—an occupation with no legitimate reason for handling nearly INR 1 million in cash over seven days. This extreme disproportionality, combined with 72% immediate outward transfer and 85.7% of deposits sitting just below round numbers, suggests the account is being used as a conduit rather than for personal banking.","Cash activity has been consistent for 26 consecutive weeks with low volatility (0.12), showing the steady, predictable pattern of an ongoing business rather than the burst-and-pause signature of structuring. The customer has maintained this behavior openly at a single branch for half a year, which is inconsistent with someone trying to evade detection through a temporary scheme.","{
  ""avg_deposit"": 139009,
  ""cash_vs_monthly_income"": 17.59,
  ""days_since_kyc"": 717,
  ""declared_annual_income"": 664000,
  ""deposits_just_under_round_pct"": 85.7,
  ""distinct_branches_used"": 1,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Salaried - Banking"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.72,
  ""prior_alert_count"": 8,
  ""risk_rating"": ""LOW"",
  ""weekly_volatility"": 1.200000000000000e-01,
  ""weeks_since_cash_began"": 26,
  ""weeks_with_cash_activity_pct"": 76.9
}",ffa3aac98f79ec1823dc27c01844f14e5247dbf14de688b866f137da6f444d89,f6ef580a8a0e64dc80687263877931ef8f52969b136bc95611d9d4abe24043cf
463,448,CU-100676|2026-04-20,CU-100676,Customer 100676,JOFKD4637E,2026-04-20,808820.78,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      808,821 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","Cash volume is 14.62 times declared monthly income for a salaried banking employee—an occupation with no legitimate cash-handling requirement. This extreme disproportionality, combined with 77% of deposited cash being immediately transferred out via electronic channels, suggests the account is being used as a conduit rather than for personal banking needs.","Cash activity has been consistent over 26 weeks with very low volatility (0.06), showing steady week-to-week patterns rather than the burst behavior typical of structuring. The regularity suggests an ongoing business operation that may simply be undeclared or misclassified in KYC records, rather than deliberate layering of illicit funds.","{
  ""avg_deposit"": 161764,
  ""cash_vs_monthly_income"": 14.62,
  ""days_since_kyc"": 724,
  ""declared_annual_income"": 664000,
  ""deposits_just_under_round_pct"": 80,
  ""distinct_branches_used"": 1,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Salaried - Banking"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.77,
  ""prior_alert_count"": 8,
  ""risk_rating"": ""LOW"",
  ""weekly_volatility"": 6.000000000000000e-02,
  ""weeks_since_cash_began"": 26,
  ""weeks_with_cash_activity_pct"": 76.9
}",b5d99008abea4fa2bfd1c026340358adec74371d365a5712490029e12354bc03,db7d43657dcc8d16fc97ddf5da2886d7265803d634e84c4bae5557dc33fe1cac
464,449,CU-100676|2026-06-01,CU-100676,Customer 100676,JOFKD4637E,2026-06-01,800620.75,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      800,621 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash volume is 14.47 times declared monthly income for a salaried banking employee—an occupation with no legitimate cash-handling requirement. This extreme disproportionality, combined with 80% of deposits sitting just below round numbers and 85% of funds being transferred out electronically, suggests classic structuring: someone is using this account as a conduit to convert large cash volumes into electronic transfers while trying to avoid detection thresholds.","The activity shows strong regularity over 26 weeks (76.9% of weeks active, low volatility of 0.19), which is characteristic of genuine ongoing business rather than opportunistic bursts. Legitimate cash traders—shopkeepers, small manufacturers, traders—often deposit weekly receipts in steady patterns like this. The customer may have an undeclared side business or family trade that generates consistent cash, and the KYC (766 days old) may simply be outdated, failing to capture the true nature of their commercial activity.","{
  ""avg_deposit"": 160124,
  ""cash_vs_monthly_income"": 14.47,
  ""days_since_kyc"": 766,
  ""declared_annual_income"": 664000,
  ""deposits_just_under_round_pct"": 80,
  ""distinct_branches_used"": 1,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Salaried - Banking"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.85,
  ""prior_alert_count"": 10,
  ""risk_rating"": ""LOW"",
  ""weekly_volatility"": 1.900000000000000e-01,
  ""weeks_since_cash_began"": 26,
  ""weeks_with_cash_activity_pct"": 76.9
}",ee2ec17c9973176e3988555a2064af1343a682da8c5d76f0d3e3cf9501da567a,4273f78bbed5741eb1a673242289b9d282002988d6d0229fe90784c258f16a0c
465,450,CU-100676|2026-07-06,CU-100676,Customer 100676,JOFKD4637E,2026-07-06,948527.68,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      948,528 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","Cash volume is 17× monthly declared income for a salaried banking employee—an occupation with no legitimate cash-handling justification—and 84% is immediately transferred out electronically, classic layering behavior","Activity has persisted steadily for the full 26-week observation window (73% of weeks active) with low volatility (0.2), suggesting an ongoing business operation rather than opportunistic bursts typical of structuring","{
  ""avg_deposit"": 189706,
  ""cash_vs_monthly_income"": 17.14,
  ""days_since_kyc"": 801,
  ""declared_annual_income"": 664000,
  ""deposits_just_under_round_pct"": 80,
  ""distinct_branches_used"": 1,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Salaried - Banking"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.84,
  ""prior_alert_count"": 10,
  ""risk_rating"": ""LOW"",
  ""weekly_volatility"": 2.000000000000000e-01,
  ""weeks_since_cash_began"": 26,
  ""weeks_with_cash_activity_pct"": 73.1
}",e6f7b0ad046ebf1b350382397a8f6e00b750e9a108579271809ae7f56ce4fa88,054be2314e80e0f6d662f2819c04af849a1f62c8b089e4bcf3d768a6188f11c4
466,451,CU-100687|2025-07-21,CU-100687,Customer 100687,LMPLA9060E,2025-07-21,855277.74,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      855,278 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.",Cash volume is 17.82 times declared monthly income for a salaried banking employee—an occupation with no legitimate reason to handle large cash flows. This extreme disproportion between declared profile and actual cash behavior is the hallmark of a mule account or structured layering.,"Cash activity has been consistent over 26 weeks (69% of weeks active) with moderate volatility (0.38), suggesting an established pattern rather than a sudden burst. More than half the funds remain in the account rather than being immediately swept out, and only 12.5% of deposits sit just below round thresholds—far lower than the near-100% precision typical of deliberate structuring.","{
  ""avg_deposit"": 106910,
  ""cash_vs_monthly_income"": 17.82,
  ""days_since_kyc"": 582,
  ""declared_annual_income"": 576000,
  ""deposits_just_under_round_pct"": 12.5,
  ""distinct_branches_used"": 3,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Salaried - Banking"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.44,
  ""prior_alert_count"": 12,
  ""risk_rating"": ""MEDIUM"",
  ""weekly_volatility"": 3.800000000000000e-01,
  ""weeks_since_cash_began"": 26,
  ""weeks_with_cash_activity_pct"": 69.2
}",6092278f9f6189f6814b7077a90e3c3726a446139a93014cac485c89c66a8bc3,600719bd020af007ca84f1de46d3cf5e0ce759205d55c2ea9ca0e4c193ca02c0
467,452,CU-100694|2025-12-01,CU-100694,Customer 100694,ADTUU3576C,2025-12-01,810988.06,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      810,988 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","Government Employee occupation receiving weekly cash equal to 72% of declared monthly income. Government employees typically receive salary via bank transfer and have no legitimate source of large-scale cash receipts. This single week's cash activity (INR 810,988) approaches three-quarters of the entire monthly declared income (INR 1,132,833), creating a severe proportionality mismatch that cannot be explained by normal government employment.","Cash activity shows consistent, steady pattern over 26 weeks (84.6% of weeks active) with low volatility (0.14), indicating established routine rather than sudden bursts typical of structuring. Funds are largely retained (only 44% transferred out), suggesting working capital for ongoing operations rather than rapid layering. The pattern resembles legitimate cash-intensive business operations—possibly an undeclared side business or family trade—that has been running transparently for half a year with regular deposits.","{
  ""avg_deposit"": 73726,
  ""cash_vs_monthly_income"": 0.72,
  ""days_since_kyc"": 1280,
  ""declared_annual_income"": 13594000,
  ""deposits_just_under_round_pct"": 18.2,
  ""distinct_branches_used"": 1,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Government Employee"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.44,
  ""prior_alert_count"": 2,
  ""risk_rating"": ""LOW"",
  ""weekly_volatility"": 1.400000000000000e-01,
  ""weeks_since_cash_began"": 25,
  ""weeks_with_cash_activity_pct"": 84.6
}",307c4204f47d8b9f92c74f398dff4c3db51fc3d1d2d17990cabf24f1a8e40b83,1b19dae24f0799ef256a7bca892658d8d67c7d0e465f7ee11a5f582ade3e9a8a
468,453,CU-100694|2026-04-13,CU-100694,Customer 100694,ADTUU3576C,2026-04-13,865436.36,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      865,436 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.",All 9 deposits sit just below round numbers (100% structuring signature) combined with a Government Employee receiving weekly cash equal to 76% of declared monthly income—an occupation with no legitimate cash-handling justification.,"Cash activity has appeared consistently for 26 weeks straight (88.5% of weeks active) with low volatility (0.14), showing the steady rhythm of an established business rather than the burst pattern typical of structuring; only 49% moved out suggests working capital retention.","{
  ""avg_deposit"": 96160,
  ""cash_vs_monthly_income"": 0.76,
  ""days_since_kyc"": 1413,
  ""declared_annual_income"": 13594000,
  ""deposits_just_under_round_pct"": 100,
  ""distinct_branches_used"": 1,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Government Employee"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.49,
  ""prior_alert_count"": 2,
  ""risk_rating"": ""LOW"",
  ""weekly_volatility"": 1.400000000000000e-01,
  ""weeks_since_cash_began"": 26,
  ""weeks_with_cash_activity_pct"": 88.5
}",58eafc83e808e01fab03b73cc068ccc990c47d4e743b7550bc4bb217a403f4f1,5c5defd4ca376f2d35d73cd558e6530c56c2e597b4297a19fc6182f64d5a3978
